,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,BTC/USDT,"$54,176.97","$32,765,052.19","$22,878,508.04","$3,087,910,337",8.19%,High,897,Recently
1,Coinbase Exchange,BTC/USD,"$54,192.24","$15,566,600.74","$12,963,925.83","$938,243,056",2.49%,High,883,Recently
2,FTX,BTC/USD,"$54,206.00","$32,582,316.58","$34,453,757.36","$823,296,173",2.18%,Low,929,Recently
3,Huobi Global,BTC/USDT,"$54,180.86","$12,851,257.48","$10,516,856.39","$722,588,633",1.92%,Low,934,Recently
4,Binance,BTC/BUSD,"$54,170.22","$10,465,988.97","$10,621,280.85","$695,095,015",1.84%,High,874,Recently
5,KuCoin,BTC/USDT,"$54,177.23","$16,394,320.39","$9,115,899.32","$588,563,339",1.56%,High,931,Recently
6,Binance,ETH/BTC,"$54,153.77","$8,014,812.58","$3,388,725.58","$379,749,614",1.01%,High,865,Recently
7,Gate.io,BTC/USDT,"$54,175.85","$2,009,221.75","$2,521,215.00","$318,720,195",0.85%,High,790,Recently
8,Bitfinex,BTC/USD,"$54,194.00","$12,843,396.75","$26,009,444.38","$289,880,956",0.77%,High,802,Recently
9,FTX,BTC/USDT,"$54,187.33","$19,324,433.97","$43,089,123.68","$276,588,938",0.73%,High,870,Recently
10,Coincheck,BTC/JPY,"$54,133.56","$2,768,519.10","$1,594,436.67","$221,315,203",0.59%,High,553,Recently
11,Kraken,XBT/USD,"$54,181.40","$43,477,625.07","$39,626,961.69","$188,879,135",0.50%,High,874,Recently
12,bitFlyer,BTC/JPY,"$54,162.05","$7,692,080.87","$3,532,870.59","$162,104,251",0.43%,High,396,Recently
13,Kraken,XBT/EUR,"$54,106.69","$32,141,217.74","$31,870,007.67","$159,793,217",0.42%,High,829,Recently
14,Binance,FTM/BTC,"$54,153.77","$219,798.72","$450,674.01","$143,516,756",0.38%,High,925,Recently
15,Binance,BTC/EUR,"$53,598.48","$2,228,529.36","$1,638,032.34","$133,274,604",0.35%,High,840,Recently
